epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,76.8732,0.7597,2.00068,1.44538,0.43503,0.8284,0.62985,0.50901,0.72404,1.38747,1.2447,0.000361,0.000361,0.000361
66,78.0196,0.81446,1.99097,1.44474,0.37793,0.81781,0.6088,0.47426,0.80734,1.39855,1.34726,0.000356875,0.000356875,0.000356875
67,79.0704,0.9513,2.12069,1.60152,0.47422,0.6991,0.63719,0.4952,0.84246,1.37085,1.37634,0.00035275,0.00035275,0.00035275
68,80.1332,0.8492,2.02329,1.50256,0.42923,0.71212,0.68243,0.51356,0.87893,1.50225,1.40019,0.000348625,0.000348625,0.000348625
69,81.6878,0.94526,1.94581,1.5773,0.42923,0.71212,0.68243,0.51356,0.87893,1.50225,1.40019,0.0003445,0.0003445,0.0003445
70,83.0919,0.78545,1.97414,1.44004,0.36003,0.69715,0.59233,0.48171,0.75839,1.58412,1.28397,0.000340375,0.000340375,0.000340375
71,84.1362,0.91343,1.92683,1.60182,0.43016,0.61825,0.54536,0.45905,0.6762,1.65177,1.18202,0.00033625,0.00033625,0.00033625
72,85.1826,0.88405,1.92309,1.54564,0.32019,0.63087,0.5328,0.44241,0.65367,1.62786,1.15033,0.000332125,0.000332125,0.000332125
73,86.2104,0.79644,1.88695,1.46963,0.32019,0.63087,0.5328,0.44241,0.65367,1.62786,1.15033,0.000328,0.000328,0.000328
74,87.2989,0.93225,1.96666,1.56258,0.31223,0.68413,0.58925,0.48513,0.68637,1.53187,1.16562,0.000323875,0.000323875,0.000323875
75,88.3294,0.76529,1.83566,1.40983,0.4839,0.68214,0.62757,0.52012,0.68306,1.40821,1.14171,0.00031975,0.00031975,0.00031975
76,89.4374,0.9528,2.02485,1.60659,0.5438,0.75098,0.68043,0.56204,0.64813,1.28136,1.09691,0.000315625,0.000315625,0.000315625
77,90.4651,0.87902,1.82549,1.53452,0.5438,0.75098,0.68043,0.56204,0.64813,1.28136,1.09691,0.0003115,0.0003115,0.0003115
78,91.5248,0.88866,1.81914,1.53164,0.56499,0.78561,0.76764,0.62979,0.6242,1.21012,1.07808,0.000307375,0.000307375,0.000307375
79,92.622,0.79295,1.86034,1.44733,0.5444,0.73775,0.79087,0.67362,0.6256,1.19867,1.09689,0.00030325,0.00030325,0.00030325
80,94.2177,0.85026,2.09261,1.49191,0.65035,0.72075,0.81633,0.68613,0.66365,1.16711,1.16028,0.000299125,0.000299125,0.000299125
81,95.6811,0.76057,1.69345,1.41162,0.65035,0.72075,0.81633,0.68613,0.66365,1.16711,1.16028,0.000295,0.000295,0.000295
82,96.7861,0.77853,1.85406,1.4341,0.56461,0.84472,0.84519,0.70127,0.71371,1.15904,1.224,0.000290875,0.000290875,0.000290875
83,97.9121,0.80181,1.87341,1.47294,0.56589,0.84814,0.80638,0.6487,0.76871,1.17323,1.28365,0.00028675,0.00028675,0.00028675
84,98.9528,0.82415,1.77467,1.46051,0.66162,0.72295,0.79258,0.62545,0.80059,1.16931,1.32633,0.000282625,0.000282625,0.000282625
85,100.003,0.83361,1.81667,1.45282,0.66162,0.72295,0.79258,0.62545,0.80059,1.16931,1.32633,0.0002785,0.0002785,0.0002785
